id,text_raw,text_clean
2141,For the first three rounds but did je beat phone Jones? That is the question. Jones beat them all Joe stop talking shit.,for the first three rounds but did je beat phone jones  that is the question  jones beat them all joe stop talking shit
2142,This is dumb this fight shouldn’t have been stopped unless ur going to stop every fight khabib has ground and pounded somebody.. this is ridiculous,this is dumb this fight shouldn t have been stopped unless ur going to stop every fight khabib has ground and pounded somebody  this is ridiculous
2143,"“what better place to end my career than in Buffalo, New York?” I can think of about 10 thousand lol",what better place to end my career than in buffalo  new york  i can think of about 10 thousand lol
2144,UFC is a trash promotion.   Thats the problem.,ufc is a trash promotion    thats the problem
2145,"“That’s funny😐”
* Proceeds to day dream about torture *","that s funny😐 
  proceeds to day dream about torture"
2146,"Dear Organiser Mr. Joe,  Please organise a UDC Fight between MARIUSZ PUDZIANOWKI  VS KHABIB at the very short time.",dear organiser mr  joe   please organise a udc fight between mariusz pudzianowki  vs khabib at the very short time
2147,"yup thats anthony, got woke",yup thats anthony  got woke
2148,Joe is actually the man I think he has alot of melanin and he's actually a broada 😂 and he always have the right words and a emotional moment 😢😢DC u the man humble real human Salam ruff sport,joe is actually the man i think he has alot of melanin and he s actually a broada 😂 and he always have the right words and a emotional moment 😢😢dc u the man humble real human salam ruff sport
2149,"Lost alot of respect for Jones in this fight. Jones gor a split decision in his next fight with Thiago Santos , than lost in my opinion to Dominick Reyes and alot of others opinion too.",lost alot of respect for jones in this fight  jones gor a split decision in his next fight with thiago santos   than lost in my opinion to dominick reyes and alot of others opinion too
2150,"Let the man cook, fuck JJ his MMA story is done. I don’t care about anything Jon does at this point. I used to be a fan until I realized he is one of the most psychotic and shady athletes of all time.",let the man cook  fuck jj his mma story is done  i don t care about anything jon does at this point  i used to be a fan until i realized he is one of the most psychotic and shady athletes of all time
2151,"Make Jon vs Francis 
Make Tom the backup fighter 
Pay Francis to pull out day of the fight","make jon vs francis 
make tom the backup fighter 
pay francis to pull out day of the fight"
2152,Jon made it look easy great performance.  Rua gave Jon a shot when he was young he should give Aspinal the same chance,jon made it look easy great performance   rua gave jon a shot when he was young he should give aspinal the same chance
2153,Ducking and diving for his life with these words 😅,ducking and diving for his life with these words 😅
2154,Ariel is the biggest aspinall meat rider ever,ariel is the biggest aspinall meat rider ever
